Table/View Name,Column Name,Data Type
MasterApprovedGBBusinessArea,ModifiedOn,datetimeoffset
MasterApprovedGBBusinessArea,ModifiedBy,nvarchar
MasterApprovedGBBusinessArea,IsDeleted,bit
MasterApprovedGBBusinessArea,Version,timestamp
MasterApprovedSectionSpoc,Id,uniqueidentifier
MasterApprovedSectionSpoc,SectionSpocId,uniqueidentifier
MasterApprovedSectionSpoc,SectionName,nvarchar
MasterApprovedSectionSpoc,SpocName,nvarchar
MasterApprovedSectionSpoc,ValidityStart,datetime
MasterApprovedSectionSpoc,ValidityEnd,datetime
MasterApprovedSectionSpoc,CreatedOn,datetimeoffset
MasterApprovedSectionSpoc,CreatedBy,nvarchar
MasterApprovedSectionSpoc,ModifiedOn,datetimeoffset
MasterApprovedSectionSpoc,ModifiedBy,nvarchar
MasterApprovedSectionSpoc,IsDeleted,bit
MasterApprovedSectionSpoc,Version,timestamp
MasterApprovedSectionSpoc,CompanyId,uniqueidentifier
MasterApprovedTargetSaving,Id,uniqueidentifier
MasterApprovedTargetSaving,CompanyId,uniqueidentifier
MasterApprovedTargetSaving,TargetSavingId,uniqueidentifier
MasterApprovedTargetSaving,ValidityStart,datetime
MasterApprovedTargetSaving,ValidityEnd,datetime
MasterApprovedTargetSaving,TargetSavingValue,decimal
MasterApprovedTargetSaving,CreatedOn,datetimeoffset
MasterApprovedTargetSaving,CreatedBy,nvarchar
MasterApprovedTargetSaving,ModifiedOn,datetimeoffset
MasterApprovedTargetSaving,ModifiedBy,nvarchar
MasterApprovedTargetSaving,IsDeleted,bit
MasterApprovedTargetSaving,Version,timestamp
MasterApprovedVendorRateCard,Id,uniqueidentifier
