Table/View Name,Column Name,Data Type
InterfaceLogs,Properties,xml
InterfaceLogs,MessageTemplate,nvarchar
InterfaceLogs,Exception,nvarchar
InterfaceLogs,LogEvent,nvarchar
Logs,Id,uniqueidentifier
Logs,Message,nvarchar
Logs,Level,nvarchar
Logs,TimeStamp,datetime2
Logs,Properties,xml
Logs,MessageTemplate,nvarchar
Logs,Exception,nvarchar
Logs,LogEvent,nvarchar
MasterAccessoriesSPOC,Id,uniqueidentifier
MasterAccessoriesSPOC,CompanyId,uniqueidentifier
MasterAccessoriesSPOC,PlantId,uniqueidentifier
MasterAccessoriesSPOC,SpocName,nvarchar
MasterAccessoriesSPOC,ValidityStart,datetime
MasterAccessoriesSPOC,ValidityEnd,datetime
MasterAccessoriesSPOC,CreatedOn,datetimeoffset
MasterAccessoriesSPOC,CreatedBy,nvarchar
MasterAccessoriesSPOC,ModifiedOn,datetimeoffset
MasterAccessoriesSPOC,ModifiedBy,nvarchar
MasterAccessoriesSPOC,IsDeleted,bit
MasterApprovalDetails,Id,uniqueidentifier
MasterApprovalDetails,ModuleId,int
MasterApprovalDetails,ObjectId,uniqueidentifier
MasterApprovalDetails,Remark,nvarchar
MasterApprovalDetails,IsActive,bit
MasterApprovalDetails,ApprovedBy,nvarchar
MasterApprovalDetails,ApprovedDate,datetime
MasterApprovalDetails,CreatedOn,datetimeoffset
MasterApprovalDetails,CreatedBy,nvarchar
MasterApprovalDetails,ModifiedOn,datetimeoffset
MasterApprovalDetails,ModifiedBy,nvarchar
MasterApprovalDetails,IsDeleted,bit
MasterApprovalDetails,Version,timestamp
MasterApprovalDetails,ApprovalStatusId,int
MasterApprovalDetails,ApprovalEno,nvarchar
MasterApprovalStatus,ApprovalStatusId,int
MasterApprovalStatus,ApprovalStatusName,nvarchar
MasterApprovedBillingPeriod,Id,uniqueidentifier
MasterApprovedBillingPeriod,BillingPeriodId,uniqueidentifier
MasterApprovedBillingPeriod,ValidityStart,datetime
MasterApprovedBillingPeriod,ValidityEnd,datetime
MasterApprovedBillingPeriod,CompanyId,uniqueidentifier
MasterApprovedBillingPeriod,PeriodId,int
MasterApprovedBillingPeriod,PeriodStart,datetime
MasterApprovedBillingPeriod,PeriodEnd,datetime
MasterApprovedBillingPeriod,StandardDays,int
MasterApprovedBillingPeriod,StandardHours,int
MasterApprovedBillingPeriod,CreatedOn,datetimeoffset
MasterApprovedBillingPeriod,CreatedBy,nvarchar
MasterApprovedBillingPeriod,ModifiedOn,datetimeoffset
MasterApprovedBillingPeriod,ModifiedBy,nvarchar
MasterApprovedBillingPeriod,IsDeleted,bit
MasterApprovedBillingPeriod,Version,timestamp
MasterApprovedBillingPeriod,PeriodOwner,nvarchar
MasterApprovedBillingPeriod,BillingMonth,nvarchar
MasterApprovedBillingPeriod,BillingPeriodYear,int
MasterApprovedBillingPeriod,IsBillingCompleted,bit
MasterApprovedBillingPeriod,IsBillingYetToStart,bit
MasterApprovedBillingPeriod,OTRatio,decimal
MasterApprovedBillingPeriod,WorkingDays,decimal
MasterApprovedBillingPeriod,BillingStatus,nvarchar
MasterApprovedBillingPeriod,ODCBilling,nvarchar
MasterApprovedBillingPeriod,SectionSpocApproval,nvarchar
MasterApprovedBillingPeriod,WorkingHour,int
MasterApprovedBillingPeriod,WorkingHours,int
MasterApprovedBoschOH,Id,uniqueidentifier
MasterApprovedBoschOH,MasterBoschOHId,uniqueidentifier
MasterApprovedBoschOH,CompanyId,uniqueidentifier
MasterApprovedBoschOH,ValidityStart,datetime
MasterApprovedBoschOH,ValidityEnd,datetime
