Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type
Vendor Management,Contract Management,SOWJD_SRN,SectionSPOCApproval,varchar
Vendor Management,Contract Management,SOWJD_SRN,ApprovalDM,varchar
Vendor Management,Contract Management,SOWJD_SRN,ApprovalSecSpoc,varchar
Vendor Management,Contract Management,SOWJD_SRN,SRNBillingYear,int
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,ID,uniqueidentifier
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,SRN_ID,uniqueidentifier
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,PurchaseHeaders_ID,uniqueidentifier
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,PoLineItemId,uniqueidentifier
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,PoLineItemBalance,decimal
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,BillingQty,decimal
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,PoLineItemSRNValue,decimal
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,UnitPrice,decimal
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,EffortPMO,decimal
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,PoOpenOrderValue,decimal
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,POStartDate,datetime
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,POEndDate,datetime
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,OrderQuantity,decimal
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,OrderValue,decimal
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,SRNBlockedValue,decimal
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,SRNBlockedQuantity,decimal
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,OpenOrderQuantity,decimal
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,LineItem,int
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,Description,varchar
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,UOM,varchar
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,PoNumber,varchar
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,SrnQuantity,decimal
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,ValidityStart,datetime
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,ValidityEnd,datetime
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,OrderCurrency,varchar
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,PurchaseHeadersId,uniqueidentifier
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,SrnValue,decimal
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,OpenOrderValue,decimal
Vendor Management,Contract Management,SOWJD_SRN_PoLineItemDetails,NetPrice,decimal
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,Id,uniqueidentifier
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,TechnicalProposalId,uniqueidentifier
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,SkillSetID,uniqueidentifier
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,GradeID,uniqueidentifier
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,ResourceOnboardingDate,datetime
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,CreatedOn,datetimeoffset
