Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type
Vendor Management,,AOP,CfCyclePlanningEndate,datetime
Vendor Management,,AOP,CreatedOn,datetimeoffset
Vendor Management,,AOP,CreatedBy,nvarchar
Vendor Management,,AOP,ModifiedOn,datetimeoffset
Vendor Management,,AOP,ModifiedBy,nvarchar
Vendor Management,,AOP,IsDeleted,bit
Vendor Management,,AOP,Version,timestamp
Vendor Management,,AOP,ActivitySpocId,nvarchar
Vendor Management,,AOP,CurrencyName,nvarchar
Vendor Management,,AOP,DelegateApproval,nvarchar
Vendor Management,,AOPFirstLevelPlanning,Id,uniqueidentifier
Vendor Management,,AOPFirstLevelPlanning,AOPId,uniqueidentifier
Vendor Management,,AOPFirstLevelPlanning,FLPlanningCode,nvarchar
Vendor Management,,AOPFirstLevelPlanning,OrganizationUnitId,int
Vendor Management,,AOPFirstLevelPlanning,OrganizationUnitName,nvarchar
Vendor Management,,AOPFirstLevelPlanning,PlanningOrgLevel,nvarchar
Vendor Management,,AOPFirstLevelPlanning,ActivitySPOCId,int
Vendor Management,,AOPFirstLevelPlanning,TotalEquivalentCapacity,decimal
Vendor Management,,AOPFirstLevelPlanning,TotalProjectedPO,decimal
Vendor Management,,AOPFirstLevelPlanning,TotalProjectedRevenue,decimal
Vendor Management,,AOPFirstLevelPlanning,Status,nvarchar
Vendor Management,,AOPFirstLevelPlanning,CreatedOn,datetimeoffset
Vendor Management,,AOPFirstLevelPlanning,CreatedBy,nvarchar
Vendor Management,,AOPFirstLevelPlanning,ModifiedOn,datetimeoffset
Vendor Management,,AOPFirstLevelPlanning,ModifiedBy,nvarchar
Vendor Management,,AOPFirstLevelPlanning,IsDeleted,bit
Vendor Management,,AOPFirstLevelPlanning,Version,timestamp
Vendor Management,,AOPSecondLevelPlanning,Id,uniqueidentifier
Vendor Management,,AOPSecondLevelPlanning,AOPId,uniqueidentifier
Vendor Management,,AOPSecondLevelPlanning,AOPFLId,uniqueidentifier
Vendor Management,,AOPSecondLevelPlanning,SLPlanningCode,nvarchar
Vendor Management,,AOPSecondLevelPlanning,OrganizationUnitId,int
Vendor Management,,AOPSecondLevelPlanning,OrganizationUnitName,nvarchar
Vendor Management,,AOPSecondLevelPlanning,PlanningOrgLevel,nvarchar
Vendor Management,,AOPSecondLevelPlanning,ActivitySPOCId,nvarchar
Vendor Management,,AOPSecondLevelPlanning,TotalEquivalentCapacity,decimal
Vendor Management,,AOPSecondLevelPlanning,TotalProjectedPO,decimal
Vendor Management,,AOPSecondLevelPlanning,TotalProjectedRevenue,decimal
Vendor Management,,AOPSecondLevelPlanning,Status,nvarchar
Vendor Management,,AOPSecondLevelPlanning,CreatedOn,datetimeoffset
Vendor Management,,AOPSecondLevelPlanning,CreatedBy,nvarchar
Vendor Management,,AOPSecondLevelPlanning,ModifiedOn,datetimeoffset
Vendor Management,,AOPSecondLevelPlanning,ModifiedBy,nvarchar
Vendor Management,,AOPSecondLevelPlanning,IsDeleted,bit
Vendor Management,,AOPSecondLevelPlanning,Version,timestamp
Vendor Management,,AOPSecondLevelPlanning,DelegateApproval,nvarchar
Vendor Management,,ApprovalStateDetails,Id,int
Vendor Management,,ApprovalStateDetails,ApprovalState,nvarchar
Vendor Management,,ApprovalStateDetails,CreatedOn,datetimeoffset
Vendor Management,,ApprovalStateDetails,CreatedBy,nvarchar
Vendor Management,,ApprovalStateDetails,ModifiedOn,datetimeoffset
Vendor Management,,ApprovalStateDetails,ModifiedBy,nvarchar
Vendor Management,,ApprovalStateDetails,IsDeleted,bit
Vendor Management,,ApprovalStateDetails,Version,timestamp
Vendor Management,,AuditAop,Id,uniqueidentifier
Vendor Management,,AuditAop,AopId,uniqueidentifier
Vendor Management,,AuditAop,AOPPlanningCode,nvarchar
Vendor Management,,AuditAop,CFCycleId,uniqueidentifier
Vendor Management,,AuditAop,CompanyId,uniqueidentifier
Vendor Management,,AuditAop,ValueIn,nvarchar
Vendor Management,,AuditAop,CurrencyId,uniqueidentifier
Vendor Management,,AuditAop,ActivitySPOCId,nvarchar
Vendor Management,,AuditAop,POPlanningLevel,nvarchar
Vendor Management,,AuditAop,ExchangeRate,decimal
